@relation seventhSem

@attribute 'LANGUAGE (COMMUNICATION IN ENGLISH)' {P,C,A,D,B,F}
@attribute 'ENGINEERING CHEMISTRY I' {P,B,A,D,F,C}
@attribute 'ENGINEERING PHYSICS I' {F,D,B,P,C,A}
@attribute 'ENGINEERING MATHEMATICS  I' {P,A,D,B,C,F,EX}
@attribute 'ENGINEERING MECHANICS I' {F,C,D,P,B,A}
@attribute 'BASIC ELECTRICAL ENGINEERING' {F,C,D,A,P,B,EX}
@attribute 'ENGINEERING CHEMISTRY LAB' {C,A,B,EX}
@attribute 'ENGINEERING PHYSICS LAB' {D,C,B,A}
@attribute 'ELECTRICAL LAB' {C,B,A,F,D,EX}
@attribute 'ENGINEERING GRAPHICS I' {D,B,A,C,F}
@attribute 'WORKSHOP PRACTICE I' {D,C,B,F,A}
@attribute 'GENERAL PROFICIENCY' {A,B}
@attribute 'ENGINEERING MATHEMATICS  II' {D,EX,A,B,P,C,F}
@attribute 'ENGINEERING PHYSICS II' {D,A,C,P,B,EX,F}
@attribute 'ENGINEERING CHEMISTRY II' {P,C,A,D,F,B,EX}
@attribute 'DISASTER MANAGEMENT' {B,EX,C,A,D,F,P}
@attribute 'BASIC ELECTRONICS' {D,A,B,EX,C,P,F}
@attribute 'ENGINEERING MECHANICS II' {C,A,D,F,B,P,EX}
@attribute 'INTRODUCTION TO PROGRAMMING' {C,A,B,D,P,F,EX}
@attribute 'BASIC ELECTRONICS LAB' {B,A,D,EX,C,F}
@attribute 'COMPUTER PROGRAMMING LAB' {B,A,EX,D,C}
@attribute 'ENGINEERING GRAPHICS II' {D,B,C,A}
@attribute 'WORKSHOP PRACTICE II' {B,C,A}
@attribute 'MATHEMATICS - III' {D,A,B,F,C,P,EX}
@attribute 'ENGINEERING ECONOMICS AND COSTING' {D,B,C,EX,A,P,F}
@attribute 'DIGITAL CIRCUITS AND LOGIC DESIGN' {C,A,P,EX,B,D}
@attribute 'DISCRETE MATHEMATICAL STRUCTURES' {C,EX,B,A,F,D,P}
@attribute 'DATA STRUCTURES AND PROGRAMMING METHODOLOGY' {D,B,C,P,A,EX}
@attribute 'DIGITAL CIRCUITS AND LOGIC DESIGN LAB' {A,B,EX,D,C}
@attribute 'DATA STRUCTURES LAB' {C,B,A,EX}
@attribute 'Mathematics - IV' {F,D,P,B,C,A,EX}
@attribute 'Design & Analysis of Algorithm' {P,B,C,D,A,EX}
@attribute 'Computer Organization' {C,A,B,EX,D,P}
@attribute 'Formal Language & Automata Theory' {F,A,D,C,P,B}
@attribute 'Object Oriented Programming' {D,A,B,C,EX,P}
@attribute 'Algorithm Laboratory' {C,B,D,A,EX}
@attribute 'Object Oriented Programming Laboratory' {A,EX,B}
@attribute 'MICROPROCESSOR & APPLICATIONS' {D,C,EX,B,A,P}
@attribute 'OPERATING SYSTEM' {D,A,C,F,B,P,EX}
@attribute 'DATA COMMUNICATION' {P,B,D,C,F,A,EX}
@attribute 'SOFTWARE ENGINEERING' {C,B,A,D,P}
@attribute 'GRAPH THEORY AND COMBINATORIES' {C,A,B,EX,P,D,F}
@attribute 'MICROPROCESSOR LABORATORY' {B,C,EX,D,A}
@attribute 'OPERATING SYSTEM LABORATORY' {D,C,A,B,F,EX}
@attribute 'SOFTWARE ENGINEERING LABORATORY' {C,B,EX,D,A}
@attribute 'DATABASE MANAGEMENT SYSTEM' {B,A,C,F,D,P,EX}
@attribute 'COMPILER DESIGN' {C,D,A,P,B,EX}
@attribute 'COMPUTER NETWORKS' {P,C,B,F,D,A,EX}
@attribute 'ARTIFICIAL INTELLIGENCE' {D,B,A,P,C,EX,F}
@attribute 'DATABASE MANAGEMENT SYSTEM LAB' {D,B,A,EX,C}
@attribute 'COMPILER DESIGN LAB' {B,A,EX,D,C}
@attribute 'COMPUTER NETWORKS LAB' {D,B,C,A,EX}
@attribute 'CRYPTOGRAPHY AND NETWORK SECURITY' {D,B,C,F,P,A,EX}
@attribute STATE {BIHAR,RAJASTHAN,TRIPURA,'MADHYA PRADESH',DELHI,'UTTAR PRADESH','ANDHRA PRADESH','WEST BENGAL',HARYANA}
@attribute CATEGORY {S.T,OPEN,O.B.C,OPEN(PH),S.C}
@attribute SSC numeric
@attribute HSC numeric

@data
D,F,P,D,F,F,C,D,C,D,C,B,C,P,F,P,P,P,D,C,A,D,B,C,P,P,D,P,A,A,F,P,P,F,P,C,A,D,P,F,P,B,B,D,A,P,P,F,P,C,B,D,F,TRIPURA,OPEN(PH),59.2,57.4
A,A,D,B,C,B,A,A,A,B,D,B,EX,C,EX,A,A,C,B,B,EX,B,B,EX,A,EX,EX,B,A,A,C,A,A,A,A,A,EX,EX,A,C,A,EX,EX,B,EX,A,EX,A,A,EX,EX,EX,B,TRIPURA,O.B.C,89.4,81
C,C,D,B,C,B,B,B,B,B,B,B,EX,C,C,B,B,B,B,B,A,B,B,C,B,A,B,D,A,A,P,C,A,D,A,B,EX,C,C,D,D,B,B,B,A,A,B,C,B,EX,EX,A,D,BIHAR,O.B.C,81.4,61.4
B,F,P,D,F,P,A,B,B,C,D,B,C,D,C,A,D,C,C,B,A,C,C,F,D,C,B,D,B,B,F,D,B,P,C,B,EX,A,C,C,B,B,B,B,A,A,C,D,B,A,A,A,C,TRIPURA,S.C,85.2,71
D,P,P,P,F,F,C,C,B,D,C,B,F,F,F,F,P,F,C,D,B,D,B,F,F,D,P,P,B,C,F,P,B,F,D,C,A,C,P,F,D,P,B,C,B,D,C,F,D,C,C,D,P,TRIPURA,S.C,59.43,47.4
D,F,P,C,F,P,B,C,B,C,D,B,A,P,P,D,D,D,C,C,B,C,B,C,P,D,B,D,B,C,P,D,B,P,B,C,A,B,P,D,D,C,A,D,A,B,C,F,D,B,B,D,D,TRIPURA,S.C,58.85,52
D,F,P,P,F,F,B,C,C,D,C,A,D,P,P,D,P,F,C,C,A,D,B,F,D,D,D,P,B,C,P,P,B,P,D,C,A,C,D,F,D,D,C,C,B,D,B,D,P,B,A,C,P,TRIPURA,OPEN,53,53
B,P,D,C,P,D,A,B,B,C,D,A,B,C,C,B,D,P,C,B,A,C,B,B,B,B,A,D,A,A,P,D,A,P,A,B,EX,B,D,P,B,B,A,C,A,B,B,D,B,EX,A,C,D,TRIPURA,OPEN,83.14,74.2
C,D,C,B,P,B,B,B,A,B,D,A,B,D,D,B,D,P,B,A,A,C,B,D,C,B,A,C,A,A,C,C,B,D,B,B,EX,A,D,D,B,A,A,B,A,B,B,D,A,A,A,B,C,TRIPURA,OPEN,78.43,82.4
B,D,P,C,P,P,C,C,C,C,D,A,D,D,P,B,D,P,B,C,B,D,B,D,C,C,C,C,B,B,P,P,A,P,D,C,A,C,D,P,D,C,B,C,B,C,D,P,C,A,A,D,P,BIHAR,OPEN,82.8,71.2
P,P,F,F,F,F,B,D,A,B,D,A,D,P,P,P,C,F,D,C,B,D,B,P,D,P,D,P,A,B,F,D,B,P,D,B,A,C,D,P,D,D,C,D,C,D,D,P,D,B,B,D,P,BIHAR,O.B.C,65.8,58.6
D,B,C,EX,D,C,B,C,A,B,D,A,EX,B,C,C,A,B,A,B,A,A,B,EX,A,B,A,D,A,A,P,C,EX,P,A,B,EX,EX,B,D,C,A,EX,A,A,A,A,D,B,EX,A,A,C,'UTTAR PRADESH',O.B.C,76.67,72.8
C,D,C,B,C,B,B,C,B,B,D,A,EX,C,D,B,B,C,A,B,A,B,B,C,C,C,B,C,B,A,P,C,A,D,B,C,A,C,C,D,C,B,B,C,C,A,C,D,B,EX,B,D,C,BIHAR,O.B.C,90.4,75.8
C,F,F,F,P,P,C,C,D,D,A,B,F,D,P,B,D,P,P,F,D,D,B,F,P,P,D,P,B,B,P,P,D,F,C,B,A,C,C,C,C,D,EX,A,B,D,D,P,D,B,B,A,F,TRIPURA,O.B.C,74,58
B,C,C,C,B,A,A,A,A,A,A,B,C,B,C,B,P,EX,C,C,EX,A,B,C,B,C,A,A,A,B,D,B,B,D,A,A,EX,B,B,B,C,A,B,A,A,A,A,B,B,EX,A,A,D,BIHAR,O.B.C,81,69.2
C,P,P,P,P,P,B,C,D,B,A,B,D,P,B,D,B,C,F,D,D,C,B,F,D,C,A,C,B,C,F,C,C,P,C,B,A,C,B,A,C,D,B,A,A,C,C,A,D,B,B,A,D,TRIPURA,OPEN,76,70
A,A,C,A,A,B,A,A,EX,A,A,B,D,A,EX,EX,A,A,B,C,EX,B,B,D,A,A,EX,EX,A,EX,D,A,A,D,A,A,A,B,A,EX,A,EX,A,B,EX,B,A,EX,B,A,A,EX,B,'ANDHRA PRADESH',OPEN,95.8,96.3
B,F,F,F,P,D,B,D,B,C,A,B,P,C,D,EX,A,B,D,D,A,B,B,P,C,B,A,B,C,C,P,B,B,D,C,B,A,C,A,A,C,B,B,A,B,A,C,B,C,B,B,A,C,'ANDHRA PRADESH',OPEN,88.3,90.5
F,P,F,F,P,D,C,B,C,D,A,B,F,P,P,P,C,C,F,D,C,D,B,F,D,P,C,C,C,C,P,P,P,F,D,B,B,C,C,D,D,D,B,B,B,P,D,P,D,C,B,A,P,TRIPURA,S.C,52,51
P,F,F,F,P,C,B,C,C,C,A,B,F,D,P,D,D,D,P,D,C,D,B,P,D,P,B,C,B,B,P,D,C,F,C,B,EX,D,C,B,C,D,C,C,A,D,C,C,C,B,A,A,F,BIHAR,O.B.C,66,65
B,C,D,C,C,C,A,B,A,A,B,B,D,A,C,A,A,C,B,C,A,A,B,C,B,B,A,B,B,A,C,A,A,D,A,A,EX,A,A,A,B,A,EX,A,A,EX,EX,A,EX,EX,EX,EX,C,TRIPURA,OPEN,74,62.6
A,B,B,B,C,C,A,B,B,B,A,B,D,A,A,EX,A,A,A,D,EX,B,B,D,B,B,A,B,A,C,B,B,C,D,A,B,A,B,B,B,C,EX,C,A,A,A,A,A,B,EX,A,A,A,'WEST BENGAL',OPEN,89,91
D,D,P,F,P,C,B,C,D,C,B,B,P,B,D,A,B,C,C,D,A,C,B,D,B,B,A,A,B,B,D,B,C,D,A,B,A,B,B,C,D,B,C,B,B,A,A,C,D,A,B,A,B,TRIPURA,S.T,56.71,71.9
C,D,D,D,C,C,B,D,B,C,A,B,D,B,B,F,B,A,C,D,A,C,B,D,C,C,A,C,A,A,D,C,C,P,B,A,EX,C,B,B,B,B,C,A,A,B,B,A,B,B,A,A,F,'UTTAR PRADESH',O.B.C,57.2,86
C,B,B,B,B,A,A,C,A,B,B,B,C,EX,A,EX,EX,A,A,D,A,B,B,D,A,A,A,B,B,A,C,EX,A,B,EX,EX,EX,C,EX,A,C,A,C,EX,A,EX,A,EX,B,A,B,EX,B,RAJASTHAN,O.B.C,88,88
A,D,C,D,C,B,B,A,C,A,A,B,P,B,B,A,A,A,A,C,A,B,B,D,D,B,A,C,C,A,C,C,C,C,A,A,EX,B,A,A,C,A,A,A,A,EX,EX,B,A,EX,A,A,A,TRIPURA,OPEN,91.2,85.2
A,C,A,D,C,B,A,B,A,D,A,A,D,B,C,A,A,A,EX,D,EX,C,B,F,C,B,B,C,B,A,D,B,C,C,A,B,A,C,B,A,B,B,B,B,B,B,A,B,C,B,A,A,B,TRIPURA,OPEN,91.2,85.4
