@relation SecondSem

@attribute 'LANGUAGE (COMMUNICATION IN ENGLISH)' {P,C,A,D,B,F}
B,P,D,C,P,D,A,B,B,C,D,A,B,C,C,B,D,P,C,B,A,C,B,TRIPURA,OPEN,83.14,74.2
C,D,C,B,P,B,B,B,A,B,D,A,B,D,D,B,D,P,B,A,A,C,B,TRIPURA,OPEN,78.43,82.4
B,D,P,C,P,P,C,C,C,C,D,A,D,D,P,B,D,P,B,C,B,D,B,BIHAR,OPEN,82.8,71.2
P,P,F,F,F,F,B,D,A,B,D,A,D,P,P,P,C,F,D,C,B,D,B,BIHAR,O.B.C,65.8,58.6
D,B,C,EX,D,C,B,C,A,B,D,A,EX,B,C,C,A,B,A,B,A,A,B,'UTTAR PRADESH',O.B.C,76.67,72.8
C,D,C,B,C,B,B,C,B,B,D,A,EX,C,D,B,B,C,A,B,A,B,B,BIHAR,O.B.C,90.4,75.8
C,F,F,F,P,P,C,C,D,D,A,B,F,D,P,B,D,P,P,F,D,D,B,TRIPURA,O.B.C,74,58
B,C,C,C,B,A,A,A,A,A,A,B,C,B,C,B,P,EX,C,C,EX,A,B,BIHAR,O.B.C,81,69.2
C,P,P,P,P,P,B,C,D,B,A,B,D,P,B,D,B,C,F,D,D,C,B,TRIPURA,OPEN,76,70
A,A,C,A,A,B,A,A,EX,A,A,B,D,A,EX,EX,A,A,B,C,EX,B,B,'ANDHRA PRADESH',OPEN,95.8,96.3
B,F,F,F,P,D,B,D,B,C,A,B,P,C,D,EX,A,B,D,D,A,B,B,'ANDHRA PRADESH',OPEN,88.3,90.5
F,P,F,F,P,D,C,B,C,D,A,B,F,P,P,P,C,C,F,D,C,D,B,TRIPURA,S.C,52,51
P,F,F,F,P,C,B,C,C,C,A,B,F,D,P,D,D,D,P,D,C,D,B,BIHAR,O.B.C,66,65
B,C,D,C,C,C,A,B,A,A,B,B,D,A,C,A,A,C,B,C,A,A,B,TRIPURA,OPEN,74,62.6
A,B,B,B,C,C,A,B,B,B,A,B,D,A,A,EX,A,A,A,D,EX,B,B,'WEST BENGAL',OPEN,89,91
D,D,P,F,P,C,B,C,D,C,B,B,P,B,D,A,B,C,C,D,A,C,B,TRIPURA,S.T,56.71,71.9
C,D,D,D,C,C,B,D,B,C,A,B,D,B,B,F,B,A,C,D,A,C,B,'UTTAR PRADESH',O.B.C,57.2,86
C,B,B,B,B,A,A,C,A,B,B,B,C,EX,A,EX,EX,A,A,D,A,B,B,RAJASTHAN,O.B.C,88,88
A,D,C,D,C,B,B,A,C,A,A,B,P,B,B,A,A,A,A,C,A,B,B,TRIPURA,OPEN,91.2,85.2
A,C,A,D,C,B,A,B,A,D,A,A,D,B,C,A,A,A,EX,D,EX,C,B,TRIPURA,OPEN,91.2,85.4
P,D,P,D,D,B,B,B,B,D,A,A,P,C,C,C,C,B,D,D,A,B,B,RAJASTHAN,S.C,59.17,78.31
C,B,P,D,A,C,B,C,C,B,B,B,D,B,EX,A,C,A,C,C,EX,D,B,'ANDHRA PRADESH',OPEN,92.5,97
C,D,D,P,D,B,A,C,B,D,B,B,C,A,B,A,EX,B,D,D,A,B,B,RAJASTHAN,S.T,68.83,76.77
C,P,P,F,F,P,B,C,D,B,A,B,F,D,P,A,C,D,D,D,C,D,B,TRIPURA,S.C,95,67
A,B,B,P,D,EX,A,B,B,A,B,B,D,EX,A,EX,EX,A,A,C,A,B,A,HARYANA,S.C,89,78.6
D,P,P,P,P,C,B,C,D,C,A,B,P,C,C,B,B,C,C,D,EX,C,B,BIHAR,O.B.C,8,71.8
D,F,F,P,P,D,C,C,C,D,A,A,F,P,D,A,C,P,P,D,B,C,B,TRIPURA,S.T,45,46.5
D,P,P,D,D,C,B,C,B,D,A,A,B,B,D,B,B,B,D,C,B,C,B,RAJASTHAN,S.T,88.4,66.8
P,F,F,F,F,F,B,C,C,D,A,A,F,P,P,B,C,B,P,D,A,C,B,TRIPURA,S.C,68.57,56.4
C,P,P,F,F,D,B,C,B,B,A,A,F,C,B,EX,A,B,C,D,EX,C,B,BIHAR,O.B.C,86,70.4
C,B,A,B,A,EX,B,C,B,B,A,A,A,A,A,EX,EX,A,A,D,EX,C,B,'UTTAR PRADESH',OPEN,78.6,77.2
C,A,A,B,C,A,A,A,C,B,A,A,B,EX,A,EX,EX,A,B,D,EX,B,A,'UTTAR PRADESH',O.B.C,84.4,80.4
B,C,P,P,B,C,B,A,D,C,A,A,C,A,B,EX,B,A,A,C,A,B,B,BIHAR,O.B.C,90.01,73
P,F,F,F,F,D,C,D,D,C,B,A,P,D,D,B,B,C,D,C,A,D,C,BIHAR,S.C,66,58.6
C,C,D,P,F,C,B,B,C,B,A,A,F,B,D,EX,B,B,C,C,EX,C,B,TRIPURA,OPEN,82,66.8
A,A,B,B,B,A,A,B,B,B,A,B,A,EX,B,EX,A,A,A,B,EX,C,A,'UTTAR PRADESH',OPEN,93.1,87
B,P,P,F,D,D,B,B,C,D,A,B,P,C,C,EX,B,B,B,D,B,C,B,TRIPURA,OPEN,91.2,72.6
D,D,P,C,C,C,C,C,B,D,A,B,D,B,C,A,A,C,B,C,A,D,B,RAJASTHAN,S.T,77.5,68
P,D,P,C,D,B,B,C,C,D,A,B,C,P,P,P,B,D,P,D,A,D,B,RAJASTHAN,O.B.C,72.67,72
F,F,P,D,D,B,B,D,C,C,B,B,D,C,C,C,A,EX,C,D,C,D,B,BIHAR,S.C,69,76
D,P,P,F,D,C,B,B,B,B,A,B,D,P,D,C,C,C,C,C,EX,A,B,'UTTAR PRADESH',OPEN,60,70
B,B,A,A,B,A,A,D,A,A,B,B,C,B,B,EX,A,EX,A,C,B,B,B,'MADHYA PRADESH',OPEN,92.4,76.2
B,C,D,C,B,B,A,B,B,C,A,B,B,C,C,EX,B,B,C,C,A,B,B,TRIPURA,OPEN,91.2,82
D,P,D,P,D,A,A,C,B,C,A,B,C,B,C,EX,A,EX,A,C,B,C,B,BIHAR,OPEN(PH),77.8,75.4
D,D,D,D,P,D,C,C,B,C,A,B,B,B,C,EX,A,C,C,C,C,C,B,RAJASTHAN,S.T,73.33,64.31
B,D,D,P,D,D,A,C,B,B,A,B,D,C,C,EX,A,A,D,C,B,B,B,TRIPURA,OPEN,87.42,72.5
D,P,D,P,P,B,C,C,B,D,B,A,F,B,C,EX,C,D,B,D,B,B,A,TRIPURA,OPEN,76,77
B,A,A,EX,A,EX,B,B,C,A,A,A,EX,EX,EX,EX,EX,EX,EX,B,EX,C,A,BIHAR,O.B.C,89.6,85.4
